title,price,size,resolution,brand,rating
Телевизор LED SAMSUNG QE 43 LS 01TAUXRU,434990,43,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG QLED QE50QN90AAUXCE UHD SMART,649990,50,4К UHD (3840x2160),SAMSUNG,0
Телевизор SONY LED XR85Z9JCEP 8K SMART,6999990,85,8K (7680 x 4320),SONY,0
Телевизор SONY LED XR75Z9JCEP 8K SMART,4999990,75,8K (7680 x 4320),SONY,0
Телевизор LG NanoCell 65NANO866PA UHD SMART,679990,65,4К UHD (3840x2160),LG,0
Телевизор SONY LED KD75X85TJCEP UHD SMART,1049990,75,4К UHD (3840x2160),SONY,0
Телевизор SONY LED KD43X81JR UHD SMART,429990,43,4К UHD (3840x2160),SONY,0
Телевизор LG NanoCell 43NANO776PA UHD SMART,289990,43,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG QLED QE65Q80AAUXCE UHD SMART,949990,65,4К UHD (3840x2160),SAMSUNG,0
Телевизор LG NanoCell 50NANO776PA UHD SMART,329990,50,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG LED UE55AU7500UXCE UHD SMART,359990,55,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG LED UE75AU9000UXCE UHD SMART,929990,75,4К UHD (3840x2160),SAMSUNG,0
Телевизор LG OLED77G1RLA,3199990,77,4К UHD (3840x2160),LG,0
Телевизор LED SONY KD 49 XG7096,289990,49,4К UHD (3840x2160),SONY,0
"Телевизор LED SONY KD 85 ZH8 (4K,Android)",6999990,85,8K (7680 x 4320),SONY,0
Телевизор LED SONY KD 75ZH8 (8K),4999990,75,8K (7680 x 4320),SONY,0
Телевизор LED LG 55NANO866NA (4K),499990,55,4К UHD (3840x2160),LG,0
"Телевизор LED SONY KD 85 XH8096 (4K,Android)",1599990,85,4К UHD (3840x2160),SONY,0
"Телевизор LED SONY KD 75 XH9505 (4K,Android)",1599990,75,4К UHD (3840x2160),SONY,0
Телевизор LED KIVI 50 U 600GR,169890,50,4К UHD (3840x2160),KIVI,5
Телевизор OLED SONY KD 65AG8,1699990,65,4К UHD (3840x2160),SONY,0
Телевизор LED KIVI 24H740LW (Smart),112890,24,HD (1366х768),KIVI,0
Телевизор LED KIVI 24H740LB (Smart),109890,24,HD (1366х768),KIVI,0
Телевизор SAMSUNG LED UE43AU7500UXCE UHD SMART,244990,43,4К UHD (3840x2160),SAMSUNG,0
